iter	Passed	Remaining
0	152	152658
1	154	77327
2	156	52155
3	159	39705
4	161	32092
5	162	26990
6	164	23330
7	165	20570
8	167	18423
9	169	16763
10	170	15343
11	172	14167
12	173	13140
13	174	12284
14	175	11532
15	177	10907
16	178	10325
17	179	9797
18	180	9319
19	181	8908
20	182	8514
21	183	8156
22	184	7833
23	186	7595
24	189	7382
25	191	7156
26	192	6929
27	194	6736
28	195	6560
29	197	6389
30	198	6210
31	199	6039
32	201	5892
33	202	5744
34	203	5600
35	204	5470
36	205	5349
37	206	5226
38	207	5118
39	208	5014
40	210	4921
41	211	4823
42	212	4732
43	213	4642
44	215	4563
45	215	4478
46	217	4400
47	218	4340
48	222	4321
49	224	4256
50	225	4194
51	226	4136
52	227	4070
53	228	4007
54	230	3954
55	231	3897
56	232	3842
57	233	3791
58	234	3740
59	235	3691
60	236	3641
61	237	3591
62	238	3543
63	239	3496
64	239	3450
65	240	3404
66	241	3361
67	242	3320
68	242	3278
69	243	3239
70	245	3209
71	246	3173
72	247	3139
73	248	3105
74	249	3074
75	250	3042
76	251	3010
77	252	2979
78	253	2949
79	255	2941
80	256	2912
81	257	2885
82	258	2856
83	259	2832
84	260	2806
85	261	2779
86	262	2753
87	263	2728
88	264	2704
89	265	2680
90	266	2657
91	267	2635
92	267	2613
93	269	2593
94	269	2570
95	270	2548
96	271	2526
97	272	2506
98	273	2490
99	275	2475
100	275	2455
101	276	2437
102	277	2417
103	278	2399
104	279	2384
105	280	2368
106	281	2349
107	282	2332
108	283	2317
109	284	2301
110	285	2289
111	286	2272
112	287	2257
113	288	2241
114	289	2229
115	290	2214
116	291	2198
117	292	2183
118	293	2169
119	294	2156
120	294	2142
121	295	2127
122	296	2112
123	297	2098
124	297	2084
125	299	2074
126	299	2060
127	300	2049
128	301	2038
129	302	2026
130	303	2014
131	304	2004
132	305	1992
133	307	1984
134	308	1975
135	309	1965
136	310	1954
137	311	1945
138	312	1934
139	313	1924
140	314	1914
141	314	1901
142	315	1891
143	316	1881
144	317	1871
145	318	1861
146	319	1854
147	320	1845
148	321	1835
149	322	1827
150	323	1819
151	324	1810
152	325	1801
153	326	1793
154	327	1785
155	328	1777
156	329	1769
157	330	1760
158	331	1751
159	332	1743
160	332	1734
161	333	1727
162	334	1718
163	335	1710
164	336	1702
165	337	1693
166	338	1685
167	338	1678
168	339	1670
169	340	1664
170	341	1657
171	342	1650
172	343	1643
173	344	1635
174	345	1628
175	346	1620
176	347	1614
177	347	1606
178	348	1599
179	349	1592
180	350	1585
181	351	1579
182	352	1573
183	353	1567
184	354	1560
185	355	1554
186	355	1546
187	356	1540
188	357	1534
189	358	1527
190	359	1520
191	359	1514
192	360	1508
193	361	1502
194	362	1496
195	363	1490
196	364	1483
197	365	1478
198	366	1473
199	367	1468
200	367	1462
201	368	1456
202	369	1451
203	370	1446
204	371	1440
205	372	1434
206	372	1428
207	373	1422
208	374	1417
209	375	1412
210	376	1407
211	377	1403
212	378	1398
213	379	1392
214	380	1387
215	381	1385
216	382	1380
217	383	1376
218	384	1370
219	385	1365
220	385	1359
221	386	1354
222	387	1349
223	388	1344
224	388	1339
225	389	1335
226	390	1331
227	391	1326
228	392	1322
229	393	1317
230	394	1312
231	395	1308
232	395	1303
233	396	1299
234	397	1295
235	398	1290
236	399	1287
237	401	1285
238	402	1281
239	403	1277
240	404	1272
241	405	1269
242	406	1266
243	407	1263
244	408	1259
245	409	1255
246	410	1251
247	411	1247
248	412	1243
249	413	1239
250	414	1235
251	415	1232
252	415	1228
253	416	1224
254	417	1220
255	418	1217
256	419	1213
257	420	1210
258	421	1206
259	423	1205
260	424	1201
261	425	1198
262	426	1196
263	427	1192
264	428	1189
265	429	1185
266	430	1181
267	431	1178
268	432	1175
269	433	1172
270	434	1168
271	435	1164
272	435	1160
273	436	1157
274	437	1154
275	438	1150
276	439	1146
277	440	1143
278	441	1139
279	441	1136
280	442	1133
281	443	1129
282	444	1126
283	445	1123
284	446	1120
285	447	1116
286	448	1113
287	448	1109
288	449	1106
289	450	1103
290	451	1100
291	452	1097
292	453	1094
293	454	1090
294	455	1087
295	456	1084
296	456	1081
297	457	1077
298	458	1074
299	459	1071
300	460	1068
301	461	1065
302	462	1062
303	462	1059
304	463	1056
305	464	1053
306	465	1051
307	466	1048
308	467	1046
309	468	1043
310	470	1041
311	471	1038
312	472	1036
313	473	1033
314	474	1030
315	475	1028
316	476	1026
317	477	1024
318	478	1021
319	479	1018
320	479	1015
321	480	1012
322	482	1010
323	482	1007
324	483	1004
325	484	1002
326	485	999
327	486	997
328	487	995
329	488	992
330	489	989
331	490	987
332	491	984
333	492	982
334	493	980
335	494	977
336	495	975
337	496	972
338	497	970
339	499	968
340	500	966
341	500	963
342	501	961
343	502	958
344	503	956
345	504	953
346	505	950
347	506	948
348	506	945
349	507	942
350	508	940
351	509	937
352	510	935
353	511	932
354	512	930
355	513	928
356	514	926
357	515	923
358	516	921
359	517	919
360	518	917
361	519	914
362	519	912
363	520	909
364	521	907
365	522	904
366	523	902
367	523	899
368	524	897
369	525	895
370	526	892
371	527	889
372	528	887
373	528	885
374	529	882
375	530	880
376	531	878
377	531	875
378	532	873
379	533	871
